ID IMDB;NOM;ANNEE;RATING;URL;LIEU TOURNAGE;GENRES;LANGUE;RESUME;PAYS;
tt0082449;Le fantôme de Milburn;1981;6.3;/title/tt0082449/?ref_=nm_flmg_t_1_act; USA, Vermont,Woodstock;Drama,Horror,Thriller;English;Two generations of men find themselves haunted by the presence of a spectral woman. When the son of one of the elderly men returns to his hometown after his brother's mysterious death, they attempt to unravel her story.;United States
tt0077898;The Man in the Santa Claus Suit;1979;6.5;/title/tt0077898/?ref_=nm_flmg_t_2_act;;Drama;English;The mysterious owner of a costume shop rents a Santa Claus suit to three very different men: a math teacher trying to get the nerve to propose, a homeless restaurateur trying to hide from the mob, and a harried political speech writer visiting with his estranged wife and son. Their lives are inexorably changed by their experience of playing Santa Claus.;United States
tt0076984;Galactica;1979;7.2;/title/tt0076984/?ref_=nm_flmg_t_3_act; USA, California,Red Rock Canyon State Park - Highway 14  Cantil;Action,Adventure,Sci-Fi;English;After the destruction of the Twelve Colonies of Mankind, the last major fighter carrier leads a makeshift fugitive fleet on a desperate search for the legendary planet Earth.;United States
tt0077536;A Family Upside Down;1978;6.9;/title/tt0077536/?ref_=nm_flmg_t_4_act;;Drama;English;An elderly married couple find that as their physical and mental health deteriorates, they find themselves dependent more and more upon their grown children.;United States
tt0076851;Un taxi mauve;1977;6.5;/title/tt0076851/?ref_=nm_flmg_t_5_act;;Drama;French;With his mauve taxi, the old philosopher Dr. Seamus Scully (Fred Astaire) runs around the small green roads of the south of Ireland, becoming confident of his patients, while trying to help them find their way.;France
tt0075971;The Easter Bunny Is Comin' to Town;1977;7.0;/title/tt0075971/?ref_=nm_flmg_t_6_act;;Animation,Adventure,Comedy;English;The Mailman decides to stop another deluge of letters by answering questions about the Easter Bunny: Sunny, a baby rabbit found and adopted by Kidville (a town of only kids--even a kid mailman). And when Sunny goes delivering eggs to the nearby town (which he has to dye to fool Gadzooks, the mean bear on the mountain), he discovers that there are no kids in the town, ... Read all;United States
tt0074130;Les Dobermans reviennent;1976;5.1;/title/tt0074130/?ref_=nm_flmg_t_7_act;;Family,Comedy,Crime;English;An ex-con man and his five trained Dobermans help a Treasury Dept. agent stop a racketeer and his gang.;United States
tt0072308;La tour infernale;1974;7.0;/title/tt0072308/?ref_=nm_flmg_t_8_act; USA, California, Pacific Heights  San Francisco;Action,Drama,Thriller;English;At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.;United States
tt0066327;Santa Claus Is Comin' to Town;1970;7.7;/title/tt0066327/?ref_=nm_flmg_t_9_act;;Animation,Adventure,Comedy;English;A mailman reveals the origin of Santa Claus.;United States
tt0066194;La vieille garde reprend du service;1970;5.6;/title/tt0066194/?ref_=nm_flmg_t_10_act;;Comedy,Family,Western;English;Retired Texas Ranger Nash Crawford re-assembles his former Ranger outfit from the old days to fight crime in his hometown.;United States
