FILM;ID REALISATEUR;
tt0082449;nm0410139;
tt0077898;nm0001904;
tt0077536;nm0723629;
tt0076851;nm0092372;
tt0075971;nm0060072;
tt0075971;nm0710230;
tt0074130;nm0161002;
tt0072308;nm0347086;
tt0066327;nm0060072;
tt0066327;nm0710230;
tt0066194;nm0566671;
tt0064664;nm0458033;
tt0062974;nm0000338;
tt1368858;nm2940732;
tt1816518;nm0041334;
tt1816518;nm0665262;
tt1816518;nm2883649;
tt0858500;nm0950000;
tt1295021;nm1245812;
tt1278345;nm0000204;
tt0783608;nm0001707;
tt0439848;nm1507217;
tt0342735;nm0001885;
tt0491524;nm0895560;
tt0338201;nm0916189;
tt0337876;nm0322242;
tt0347149;nm0594503;
tt0276919;nm0001885;
tt0069899;nm0173953;
tt0069990;nm0671862;
tt0067637;nm0160108;
tt0067637;nm0143007;
tt0066857;nm0257992;
tt0066164;nm0143007;
tt0066164;nm0001031;
tt0064779;nm0222545;
tt0064324;nm0042159;
tt0063592;nm0229424;
tt0063715;nm0000019;
tt0063715;nm0001501;
tt0063715;nm0671862;
tt11609168;nm0717025;
tt11609138;nm0717025;
tt11609132;nm0558062;
tt11609132;nm0717025;
tt11609126;nm0558062;
tt11609126;nm0717025;
tt11609104;nm0717025;
tt11609088;nm0000003;
tt0082801;nm0000814;
tt0082200;nm0000776;
tt0080455;nm0000484;
tt0078723;nm0000229;
tt0079660;nm0570219;
tt0076816;nm0918660;
tt0077621;nm0000197;
tt0077975;nm0000484;
tt0077147;nm0001385;
tt0077147;nm0918660;
tt0775426;nm0918660;
tt0073691;nm0681617;
tt0073691;nm0844326;
tt0301538;nm0376676;
tt0301538;nm1116357;
tt0301538;nm0446859;
tt9121232;nm1972555;
tt0119496;nm0000005;
tt0073822;nm0000005;
tt0069467;nm0000005;
tt0064793;nm0000005;
tt0064897;nm0000005;
tt0048272;nm0000005;
tt0047167;nm0000005;
tt0044811;nm0000005;
tt0043048;nm0000005;
tt0041998;nm0000005;
tt0040622;nm0000005;
tt0039834;nm0000005;
tt0036914;nm0803549;
tt0084914;nm0316830;
tt0077711;nm0000005;
tt0074878;nm0591486;
tt0071877;nm0001486;
tt0070079;nm0177034;
tt0066542;nm0337885;
tt0064117;nm0757256;
tt0061794;nm0467646;
tt0059927;nm0002190;
tt0058724;nm0926919;
tt0057135;nm0781751;
tt0207317;nm0156668;
tt0054936;nm0514822;
tt0049291;nm0733476;
tt0047985;nm0943758;
tt0048291;nm0229424;
tt0048801;nm0002031;
tt0046754;nm0000581;
tt0047437;nm0000697;
tt0046816;nm0229424;
tt0046414;nm0001379;
tt0045544;nm0112218;
tt0044533;nm0112218;
tt0043265;nm0001379;
tt0044040;nm0076779;
tt0043503;nm0934827;
tt0043503;nm0909825;
tt10905860;nm0070534;
tt10905860;nm0793804;
tt0442674;nm0748142;
tt1667880;nm0402995;
tt0227445;nm0000568;
tt0120678;nm0800533;
tt0118768;nm0000136;
tt0116654;nm0001239;
tt0116654;nm0822582;
tt8391714;nm0248054;
tt0112883;nm0505230;
tt0103962;nm0322515;
tt0099615;nm0000921;
tt0097243;nm0657484;
tt0839995;nm0001149;
tt0839995;nm0504513;
tt0080754;nm0000814;
tt0078788;nm0000338;
tt0087803;nm0705535;
tt0159876;nm0258405;
tt0079492;nm0233071;
tt0080536;nm0202088;
tt0078320;nm0572132;
tt0081975;nm0656108;
tt0077289;nm0006889;
tt0078492;nm0572132;
tt0077921;nm0324995;
tt29120102;nm0000958;
tt29120102;nm0657853;
tt0075995;nm0001486;
tt0076009;nm0000958;
tt0076009;nm0657853;
tt0088248;nm0765121;
tt0082970;nm0001232;
tt0062676;nm0782947;
tt0331187;nm0736392;
tt0055256;nm0000697;
tt0053849;nm0599910;
tt0053272;nm0027183;
tt0053109;nm0496468;
tt0050681;nm0678928;
tt0049844;nm0746740;
tt0049881;nm0936404;
